step,loss
00000,7.6676
00001,7.4311
00002,7.5091
00003,7.6469
00004,7.2114
00005,7.1752
00006,7.2903
00007,7.3165
00008,7.2038
00009,7.0989
00010,7.0660
00011,7.0781
00012,7.0326
00013,7.0229
00014,7.0404
00015,7.0821
00016,6.9589
00017,6.9568
00018,6.9762
00019,7.0033
00020,6.9577
00021,6.9222
00022,7.0424
00023,6.9176
00024,6.9266
00025,6.9729
00026,6.9762
00027,6.9126
00028,6.8663
00029,6.8529
00030,6.8989
00031,6.8975
00032,6.8746
00033,6.9012
00034,6.8116
00035,6.9059
00036,6.8847
00037,6.9104
00038,6.8565
00039,6.8657
00040,6.8471
00041,6.8089
00042,6.9289
00043,6.8177
00044,6.7934
00045,6.8126
00046,6.9236
00047,6.9144
00048,6.8061
00049,6.8922
00050,6.7509
00051,6.8181
00052,6.8455
00053,6.8293
00054,6.8114
00055,6.7987
00056,6.8471
00057,6.7509
00058,6.7368
00059,6.8470
00060,7.0569
00061,6.8189
00062,6.7551
00063,6.7927
00064,6.7788
00065,6.7913
00066,6.8370
00067,7.0220
00068,6.9197
00069,6.9060
00070,6.8651
00071,6.8139
00072,6.7740
00073,6.8072
00074,6.8190
00075,6.9496
00076,6.8096
00077,6.8242
00078,6.7428
00079,6.7826
00080,6.8231
00081,6.8723
00082,6.7856
00083,6.7856
00084,6.7511
00085,6.9102
00086,6.7448
00087,6.7460
00088,6.7347
00089,6.7003
00090,6.7161
00091,6.8000
00092,6.7672
00093,6.9779
00094,6.7820
00095,6.7007
00096,6.7522
00097,6.8480
00098,6.7621
00099,6.7298
00100,6.7202
00101,6.7497
00102,6.9757
00103,6.7830
00104,6.7262
00105,6.7575
00106,6.7312
00107,6.7570
00108,6.6890
00109,6.7319
00110,6.7984
00111,6.7639
00112,6.6814
00113,6.6788
00114,6.7428
00115,6.9170
00116,6.8162
00117,6.7667
00118,6.7193
00119,6.7695
00120,6.8517
00121,6.8255
00122,6.7299
00123,6.6945
00124,6.6710
00125,6.6732
00126,6.6682
00127,6.7562
00128,6.6878
00129,6.6781
00130,6.7262
00131,6.8009
00132,6.7010
00133,6.6896
00134,6.7344
00135,6.6598
00136,6.6946
00137,6.6453
00138,6.6643
00139,6.6675
00140,6.8119
00141,6.6323
00142,6.6582
00143,6.6708
00144,6.8524
00145,6.6755
00146,6.6567
00147,6.6175
00148,6.6183
00149,6.7128
00150,6.6784
00151,6.6388
00152,6.6589
00153,6.7638
00154,6.7324
00155,6.8252
00156,6.6766
00157,6.6242
00158,6.6526
00159,6.6742
00160,6.6253
00161,6.6075
00162,6.7285
00163,6.5767
00164,6.5751
