step,loss
00000,7.5038
00001,7.7460
00002,7.5046
00003,7.4626
00004,7.5262
00005,7.2317
00006,7.2712
00007,7.0780
00008,7.3554
00009,7.0992
00010,6.9935
00011,7.2079
00012,6.9696
00013,6.9724
00014,7.1766
00015,6.9351
00016,7.0852
00017,7.0317
00018,6.9019
00019,7.0783
00020,6.8073
00021,6.8241
00022,6.6703
00023,6.7854
00024,6.8134
00025,6.8547
00026,6.8001
00027,6.6789
00028,6.6430
00029,6.6537
00030,6.5945
00031,6.6527
00032,6.5676
00033,6.6182
00034,6.5561
00035,6.6002
00036,6.6232
00037,6.5693
00038,6.4993
00039,6.5348
00040,6.4186
00041,6.4353
00042,6.3907
00043,6.4019
00044,6.4399
00045,6.4655
00046,6.4428
00047,6.4859
00048,6.4357
00049,6.3402
00050,6.3362
00051,6.3677
00052,6.3611
00053,6.4740
00054,6.3732
00055,6.3883
00056,6.3202
00057,6.2814
00058,6.3437
00059,6.4146
00060,6.4234
00061,6.3636
00062,6.3041
00063,6.2463
00064,6.2660
00065,6.2799
00066,6.3281
00067,6.3200
00068,6.2842
00069,6.2591
00070,6.2697
00071,6.2699
00072,6.2683
00073,6.2194
00074,6.2239
00075,6.2403
00076,6.2174
00077,6.2034
00078,6.2232
00079,6.2186
00080,6.1867
00081,6.1985
00082,6.2171
00083,6.1951
00084,6.2039
00085,6.2366
00086,6.2415
00087,6.2296
00088,6.2616
00089,6.2256
00090,6.1727
00091,6.1603
00092,6.1825
00093,6.1867
00094,6.1789
00095,6.1856
00096,6.2302
00097,6.1833
00098,6.1429
00099,6.1671
00100,6.1653
00101,6.1850
00102,6.1651
00103,6.1392
00104,6.1573
00105,6.1436
00106,6.1655
00107,6.1485
00108,6.1323
00109,6.1310
00110,6.1277
00111,6.1340
00112,6.1568
00113,6.1681
00114,6.1657
00115,6.1604
00116,6.1788
00117,6.1395
00118,6.1188
00119,6.1232
00120,6.1755
00121,6.1390
00122,6.0901
00123,6.0944
00124,6.1220
00125,6.1506
00126,6.1852
00127,6.1292
00128,6.1610
00129,6.1572
00130,6.1169
00131,6.1152
00132,6.1362
00133,6.1279
00134,6.1057
00135,6.1100
00136,6.1255
00137,6.1046
00138,6.0975
00139,6.1069
00140,6.0823
00141,6.0586
00142,6.0789
00143,6.0625
00144,6.0608
00145,6.0742
00146,6.1119
00147,6.0904
00148,6.0933
00149,6.0841
00150,6.0566
00151,6.0783
00152,6.0732
00153,6.0921
00154,6.0977
00155,6.0986
00156,6.0672
00157,6.0716
00158,6.0704
00159,6.0623
00160,6.0999
00161,6.0704
00162,6.0615
00163,6.0702
00164,6.0958
00165,6.0930
00166,6.1003
00167,6.0824
00168,6.0631
00169,6.0891
00170,6.0846
00171,6.0380
00172,6.0629
00173,6.0629
00174,6.0476
00175,6.0306
00176,6.0477
00177,6.0747
00178,6.0419
00179,6.0372
00180,6.0747
00181,6.0667
00182,6.0414
00183,6.0480
00184,6.0468
00185,6.0543
00186,6.0329
00187,6.0519
00188,6.0651
00189,6.0304
00190,6.0491
00191,6.0453
00192,6.0808
00193,6.0461
00194,6.0504
00195,6.0744
00196,6.0579
00197,6.0407
00198,6.0380
00199,6.0122
00200,6.0045
00201,6.0186
00202,6.0338
00203,6.0264
00204,6.0245
00205,6.0273
00206,6.0347
00207,6.0159
00208,6.0404
00209,6.0500
00210,6.0344
00211,6.0315
00212,6.0033
00213,6.0093
00214,6.0275
00215,6.0297
00216,6.0307
00217,6.0163
00218,6.0164
00219,6.0428
00220,6.0308
00221,6.0112
00222,6.0152
00223,5.9958
00224,5.9953
00225,5.9959
00226,5.9973
00227,6.0418
00228,6.0541
00229,6.0197
00230,6.0219
00231,6.0296
00232,6.0368
00233,6.0211
00234,6.0063
00235,6.0171
00236,6.0375
00237,6.0327
00238,6.0124
00239,6.0241
00240,6.0627
00241,6.0658
00242,6.0444
00243,6.0123
00244,6.0101
00245,5.9838
00246,5.9993
00247,5.9999
00248,6.0144
00249,6.0443
00250,6.0644
00251,6.0437
00252,5.9929
00253,5.9937
00254,5.9866
00255,5.9840
00256,5.9898
00257,5.9921
00258,6.0176
00259,6.0065
00260,5.9852
00261,6.0086
00262,5.9934
00263,5.9799
00264,5.9787
00265,5.9785
00266,5.9805
00267,5.9852
00268,6.0123
00269,5.9878
00270,5.9993
00271,5.9917
00272,6.0055
00273,5.9910
00274,5.9888
00275,5.9868
00276,5.9840
00277,5.9848
00278,5.9961
00279,6.0141
00280,5.9950
00281,5.9681
00282,5.9584
00283,5.9762
00284,5.9932
00285,5.9990
00286,5.9832
00287,5.9951
00288,6.0024
00289,5.9811
00290,5.9938
00291,5.9830
00292,5.9671
00293,5.9956
00294,5.9836
00295,6.0221
00296,6.0029
00297,5.9782
00298,5.9688
00299,5.9682
00300,5.9824
00301,6.0436
00302,6.0261
00303,6.0191
00304,5.9807
00305,5.9680
00306,5.9793
00307,5.9680
00308,5.9773
00309,5.9618
00310,5.9653
00311,5.9889
00312,5.9761
00313,5.9732
00314,5.9641
00315,5.9699
00316,5.9551
00317,5.9684
00318,5.9857
00319,5.9938
00320,6.0230
00321,6.0001
00322,5.9816
00323,5.9797
00324,5.9880
00325,5.9616
00326,5.9539
00327,5.9655
00328,5.9781
00329,6.0115
00330,5.9862
00331,5.9691
00332,5.9703
00333,6.0039
00334,5.9872
00335,5.9641
00336,5.9684
00337,5.9797
00338,5.9858
00339,5.9632
00340,5.9419
00341,5.9467
00342,5.9525
00343,5.9324
00344,5.9408
00345,5.9628
00346,5.9427
00347,5.9756
00348,5.9615
00349,5.9452
00350,5.9649
00351,5.9547
00352,5.9717
00353,5.9711
00354,5.9543
00355,5.9566
00356,5.9569
00357,5.9534
00358,5.9580
00359,5.9492
00360,5.9564
00361,5.9777
00362,5.9884
00363,5.9996
00364,5.9911
00365,5.9582
00366,5.9553
00367,5.9513
00368,5.9674
00369,5.9671
00370,5.9588
00371,5.9470
00372,5.9515
00373,5.9596
00374,5.9657
00375,5.9720
00376,5.9603
00377,5.9551
00378,5.9726
00379,5.9831
00380,5.9603
00381,5.9436
00382,5.9415
00383,5.9521
00384,5.9562
00385,5.9584
00386,5.9521
00387,5.9378
00388,5.9706
00389,5.9667
00390,5.9802
00391,5.9664
00392,5.9432
00393,5.9411
00394,5.9609
00395,5.9525
00396,5.9480
00397,5.9421
00398,5.9356
00399,5.9405
00400,5.9421
00401,5.9680
00402,5.9835
00403,5.9519
00404,5.9329
00405,5.9470
00406,5.9599
00407,5.9384
00408,5.9379
00409,5.9385
00410,5.9487
00411,5.9390
00412,5.9372
00413,5.9590
00414,5.9598
00415,5.9550
00416,5.9603
00417,5.9597
00418,5.9487
00419,5.9630
00420,5.9413
00421,5.9580
00422,5.9532
00423,5.9430
00424,5.9326
00425,5.9409
00426,5.9434
00427,5.9331
00428,5.9363
00429,5.9326
00430,5.9333
00431,5.9451
00432,5.9432
00433,5.9584
00434,5.9570
00435,5.9512
00436,5.9454
00437,5.9337
00438,5.9511
00439,5.9278
00440,5.9553
00441,5.9533
00442,5.9424
00443,5.9396
00444,5.9409
00445,5.9614
00446,5.9334
00447,5.9296
00448,5.9416
00449,5.9641
00450,5.9501
00451,5.9540
00452,5.9417
00453,5.9481
00454,5.9379
00455,5.9560
00456,5.9408
00457,5.9279
00458,5.9352
00459,5.9232
00460,5.9276
00461,5.9359
00462,5.9463
00463,5.9373
00464,5.9253
00465,5.9261
00466,5.9268
00467,5.9325
00468,5.9392
00469,5.9693
00470,5.9574
00471,5.9410
00472,5.9343
00473,5.9238
00474,5.9206
00475,5.9216
00476,5.9314
00477,5.9299
00478,5.9242
00479,5.9325
00480,5.9317
00481,5.9362
00482,5.9318
00483,5.9325
00484,5.9730
00485,5.9567
00486,5.9287
00487,5.9411
00488,5.9288
00489,5.9246
00490,5.9408
00491,5.9545
00492,5.9195
00493,5.9235
00494,5.9227
00495,5.9246
00496,5.9233
00497,5.9252
00498,5.9356
00499,5.9454
00500,5.9367
00501,5.9296
00502,5.9375
00503,5.9426
00504,5.9454
00505,5.9276
00506,5.9118
00507,5.9257
00508,5.9380
00509,5.9416
00510,5.9335
00511,5.9223
00512,5.9280
00513,5.9106
00514,5.9113
00515,5.9205
00516,5.9264
00517,5.9373
00518,5.9495
00519,5.9278
00520,5.9196
00521,5.9238
00522,5.9425
00523,5.9473
00524,5.9613
00525,5.9308
00526,5.9371
00527,5.9326
00528,5.9263
00529,5.9330
00530,5.9244
00531,5.9210
00532,5.9137
00533,5.9041
00534,5.9105
00535,5.9199
00536,5.9179
00537,5.9207
00538,5.9048
00539,5.9222
00540,5.9172
00541,5.9165
00542,5.9207
00543,5.9198
00544,5.9128
00545,5.9310
00546,5.9336
00547,5.9239
00548,5.9191
00549,5.9114
00550,5.9086
00551,5.9166
00552,5.9174
00553,5.9109
00554,5.9237
00555,5.9190
00556,5.9204
00557,5.9213
00558,5.9469
00559,5.9236
00560,5.9324
00561,5.9254
00562,5.9314
